SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/28/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.034577","1.659718"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/29/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.034567","1.659174"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/30/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.034691","1.665146"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/31/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.03475","1.667992"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/1/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.034964","1.678316"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/2/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.036403","1.747355"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/3/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.035906","1.723475"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/4/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.035835","1.720114"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/5/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.035827","1.719704"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/6/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.035754","1.716210"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/7/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.035682","1.712730"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/8/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.035793","1.718043"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/9/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.035874","1.721926"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/10/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.038714","1.858278"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/11/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.035325","1.695609"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/12/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.035676","1.712452"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/13/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.03617","1.736148"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/14/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.043848","2.104744"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/15/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.043762","2.100613"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/16/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.046828","2.247770"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/17/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.043642","2.094791"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/18/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.043993","2.111626"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/19/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.046978","2.254962"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/20/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.044654","2.143363"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/21/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.044827","2.151669"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/22/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.044408","2.131660"
